City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,30.03,74,40,3.09,CK,2025-01-25 02:01:56
1,uturoa,-16.7333,-151.4333,28.2,74,2,5.68,PF,2025-01-25 02:04:33
2,invercargill,-46.4,168.35,22.23,54,15,0.45,NZ,2025-01-25 02:00:04
3,wailua homesteads,22.0669,-159.378,23.44,66,100,5.14,US,2025-01-25 02:04:34
4,klyuchi,52.2667,79.1667,-19.22,80,100,5.39,RU,2025-01-25 02:04:34
5,edinburgh of the seven seas,-37.0676,-12.3116,16.56,71,0,7.47,SH,2025-01-25 02:04:35
6,kunda,25.7167,81.5167,9.76,55,0,3.26,IN,2025-01-25 02:04:35
7,lethbridge,49.7,-112.8186,-3.94,68,75,4.12,CA,2025-01-25 02:04:35
8,bethel,41.3712,-73.414,-4.1,62,67,0.89,US,2025-01-25 02:04:35
9,grytviken,-54.2811,-36.5092,8.64,94,100,4.72,GS,2025-01-25 02:04:35
10,college,64.8569,-147.8028,2.82,89,75,2.57,US,2025-01-25 02:04:36
11,puerto natales,-51.7236,-72.4875,6.39,95,43,1.94,CL,2025-01-25 02:04:36
12,tura,25.5198,90.2201,14.83,59,2,0.25,IN,2025-01-25 02:04:36
13,port-aux-francais,-49.35,70.2167,8.22,89,35,10.5,TF,2025-01-25 02:04:36
14,villa gesell,-37.2639,-56.973,19.78,78,0,8.61,AR,2025-01-25 02:04:24
15,kenai,60.5544,-151.2583,4.05,99,100,2.06,US,2025-01-25 02:04:37
16,llanes,43.4198,-4.7549,12.7,84,81,3.87,ES,2025-01-25 02:04:37
17,goiatuba,-18.0125,-49.3547,22.1,83,99,2.45,BR,2025-01-25 02:04:37
18,sinop,41.7711,34.8709,5.31,76,98,3.98,TR,2025-01-25 02:04:37
19,ribeira grande,38.5167,-28.7,15.22,63,75,6.69,PT,2025-01-25 02:04:38
20,medicine hat,50.0501,-110.6683,-2.76,71,100,7.72,CA,2025-01-25 02:04:38
21,shaowu,27.3409,117.4831,15.1,86,93,1.39,CN,2025-01-25 02:00:27
22,vorkuta,67.5,64,-25,100,93,0.68,RU,2025-01-25 02:01:15
23,broken hill,-31.95,141.4333,29.31,18,3,4.3,AU,2025-01-25 02:04:39
24,tayshet,55.9342,98.0044,-23.71,89,100,2.18,RU,2025-01-25 02:04:39
25,lebu,-37.6167,-73.65,14.91,80,6,9.15,CL,2025-01-25 02:04:39
26,cockburn town,21.4612,-71.1419,25.49,84,60,5.24,TC,2025-01-25 02:04:39
27,bilibino,68.0546,166.4372,-34.53,98,100,1.97,RU,2025-01-25 02:04:40
28,gadzhiyevo,69.2551,33.3362,-15.36,100,94,4.67,RU,2025-01-25 02:04:40
29,papatowai,-46.5619,169.4708,18.15,55,67,3.84,NZ,2025-01-25 02:04:40
30,adamstown,-25.066,-130.1015,25.5,73,1,3.25,PN,2025-01-25 02:04:40
31,xining,36.6167,101.7667,-6.59,82,100,1.15,CN,2025-01-25 02:00:34
32,ushuaia,-54.8,-68.3,7.81,81,75,10.29,AR,2025-01-25 02:01:45
33,phan thiet,10.9333,108.1,25.89,68,79,1.58,VN,2025-01-25 02:04:41
34,punta arenas,-53.15,-70.9167,10.06,76,20,12.35,CL,2025-01-25 02:04:41
35,achacachi,-16.05,-68.6833,6.66,84,65,4.4,BO,2025-01-25 02:04:41
36,opuwo,-18.0607,13.84,18.76,63,15,2.49,NA,2025-01-25 02:04:42
37,isafjordur,66.0755,-23.124,-0.74,93,100,3.22,IS,2025-01-25 02:04:42
38,puerto ayora,-0.7393,-90.3518,24.19,96,78,1.6,EC,2025-01-25 02:04:42
39,kodiak,57.79,-152.4072,6.73,76,100,5.14,US,2025-01-25 02:04:43
40,skeldon,5.8833,-57.1333,23.73,92,7,2.85,GY,2025-01-25 02:04:43
41,yuzhno-kurilsk,44.0306,145.8556,0.17,97,100,8,RU,2025-01-25 02:04:43
42,zhovti vody,48.3473,33.5003,4.35,96,100,2.52,UA,2025-01-25 02:04:43
43,marsh harbour,26.5412,-77.0636,20.04,81,100,12.18,BS,2025-01-25 02:04:43
44,illizi,26.4833,8.4667,16.31,18,0,2.61,DZ,2025-01-25 02:04:44
45,atafu village,-8.5421,-172.5159,27.96,75,52,7.43,TK,2025-01-25 02:04:44
46,tiksi,71.6872,128.8694,-25.67,94,29,7.34,RU,2025-01-25 02:04:44
47,ilulissat,69.2167,-51.1,-5.99,49,100,1.54,GL,2025-01-25 02:04:44
48,kununurra,-15.7667,128.7333,30.99,62,100,3.6,AU,2025-01-25 02:04:13
49,kuusamo,65.9667,29.1833,-7.98,93,100,2.06,FI,2025-01-25 02:04:24
50,hermanus,-34.4187,19.2345,21,94,0,2.31,ZA,2025-01-25 02:00:10
51,katsuura,35.1333,140.3,6.26,95,96,9.39,JP,2025-01-25 02:04:00
52,kresttsy,58.2452,32.5165,0.67,98,100,3.23,RU,2025-01-25 02:04:45
53,dudinka,69.4058,86.1778,-32.54,97,99,3.03,RU,2025-01-25 02:04:46
54,greenville,35.6127,-77.3663,-1.6,88,0,1.54,US,2025-01-25 02:04:46
55,susuman,62.7833,148.1667,-32.81,100,96,1.23,RU,2025-01-25 02:04:46
